Player,T1_1,T1_2,T2_1,T2_2,T3_1,T3_2,H1_1,H1_2,H2_1,H2_2,H3_1,H3_2,hand,height(cm),weight(lbs),BA
michael_young,0.48617,0.04388,0.245745,0.32448,0.394681,0.374134,0.465957,0.143187,0.460638,0.520785,0.589362,0.5,0,185,200,0.2999
earl_sheely,0.51221,0.351562,0.442002,0.55957,0.55006,0.556152,0.545788,0.409668,0.541514,0.59668,0.649573,0.574707,0,195,190,0.2997
albert_pujols,0.458015,0.1175,0.085878,0.37125,0.259542,0.4625,0.358779,0.26625,0.375954,0.6,0.568702,0.54875,0,190,235,0.2996
dustin_pedroia,0.519141,0.011111,0.455469,0.265278,0.513281,0.369444,0.510547,0.172222,0.494141,0.480556,0.571094,0.479167,0,175,175,0.2993
bake_mcbride,0.769704,0.300654,0.369458,0.409314,0.20197,0.40768,0.413793,0.179739,0.523399,0.514706,0.311576,0.495098,1,188,190,0.2992
rico_carty,0.381786,0.09595,0.256786,0.408631,0.4575,0.443105,0.4675,0.212633,0.337857,0.491321,0.538929,0.476374,0,190,100,0.2991
matt_holliday,0.68,0.048889,0.303333,0.127778,0.4,0.262222,0.476667,0.104444,0.373333,0.478889,0.601667,0.471111,0,193,240,0.299
denny_lofton,0.995,0.0575,0.876667,0.3975,0.63,0.36375,0.563333,0.07875,0.586667,0.47125,0.425,0.4375,1,183,180,0.299
dante_bichette,0.458594,0.125694,0.33125,0.316667,0.411719,0.406944,0.432812,0.231944,0.399219,0.554167,0.479297,0.527083,0,190,217,0.2987
barry_bonds,0.46809,0.039333,0.65448,0.2485,0.469992,0.296167,0.434277,0.118833,0.344252,0.443167,0.494928,0.444667,1,185,185,0.2981
jose_vidro,0.527569,0.031046,0.213033,0.421569,0.483709,0.530229,0.45614,0.236928,0.414787,0.645425,0.692982,0.625,0,175,180,0.2981
julio_franco,0.938507,0.074707,0.331625,0.082031,0.372621,0.257812,0.448755,0.157715,0.213031,0.481445,0.426794,0.487305,0,183,160,0.298
ted_kluszewski,0.645417,0.10061,0.8425,0.527003,0.525417,0.64547,0.45875,0.077091,0.114167,0.882404,0.440417,0.912456,1,188,225,0.2979
ryan_braun,0.385,0.024167,0.2225,0.530833,0.403333,0.6,0.4075,0.230833,0.444167,0.7425,0.626667,0.690833,0,188,205,0.2977
danieL_murphy,0.606268,0.081581,0.662831,0.344806,0.563663,0.439452,0.566601,0.219567,0.507835,0.526131,0.623653,0.543658,1,187,225,0.2976
placido_polanco,0.526786,0.055031,0.211538,0.323264,0.33671,0.415861,0.426168,0.268453,0.379636,0.598748,0.56851,0.554811,0,175,190,0.2969
bernie_williams,0.595192,0.017487,0.761538,0.39443,0.509615,0.490285,0.55,0.207902,0.675,0.56671,0.4125,0.562176,0,188,180,0.2969
michael_brantley,0.84229,0.031606,0.68117,0.639103,0.527284,0.737413,0.561389,0.180816,0.749793,0.916942,0.573584,0.941749,1,188,200,0.2968
mike_sweeney,0.559084,0.099609,0.194239,0.257324,0.330133,0.38623,0.3774,0.220703,0.343427,0.534668,0.518464,0.506836,0,185,195,0.2968
ken_griffey,0.561458,0.009722,0.510417,0.229167,0.395833,0.297222,0.414583,0.113889,0.502083,0.420833,0.4125,0.440278,1,180,190,0.2964
jeff_cirillo,0.475278,0.106481,0.228889,0.290185,0.390833,0.38963,0.411667,0.233148,0.321389,0.498519,0.485556,0.49537,0,188,190,0.2961
keith_hernandez,0.470313,0.0225,0.803125,0.37375,0.601562,0.43125,0.510938,0.18125,0.542188,0.4875,0.353125,0.48,1,183,180,0.2961
brian_harper,0.269608,0.020936,0.263072,0.301724,0.361928,0.365764,0.376634,0.135468,0.348039,0.450739,0.417484,0.440887,0,188,195,0.2955
juan_gonzales,0.828358,0.094771,0.384328,0.178922,0.542289,0.310458,0.543532,0.189542,0.355721,0.509804,0.558458,0.506536,0,190,175,0.2953
bob_watson,0.2875,0.037864,0.209643,0.455115,0.423929,0.512036,0.488929,0.240722,0.435714,0.561434,0.644643,0.543129,0,183,201,0.2952
victor_martinez,0.471978,0.032374,0.237912,0.230216,0.401648,0.333453,0.373077,0.220504,0.251099,0.518705,0.475275,0.508993,0,188,235,0.2951
kevin_seitzer,0.394737,0.22625,0.321429,0.43375,0.421053,0.49125,0.454887,0.36125,0.479323,0.56125,0.54125,0.015038,0,180,180,0.295
albert_belle,0.427835,0.164062,0.409426,0.468262,0.540501,0.498535,0.461708,0.310547,0.360825,0.556152,0.535346,0.564453,0,185,190,0.2949
