Player,T1_1,T1_2,T2_1,T2_2,T3_1,T3_2,H1_1,H1_2,H2_1,H2_2,H3_1,H3_2,hand,angle 1,angle 2,height,weight,BA,AB,H,HR,R,RBI,SB,OBP,SLG,OPS,OPS+
Ty_Cobb,0.949931,0.122283,0.900549,0.374457,0.664609,0.321739,0.679012,0.018478,0.698217,0.42663,0.469822,0.3875,1,,,185,175,0.366,11440,4189,117,2245,1944,897,0.433,0.512,0.944,168
Babe_Ruth,0.549735,0.050366,0.698276,0.378205,0.590849,0.413004,0.586207,0.165751,0.518568,0.45696,0.600133,0.458791,1,,,187,215,0.342,8399,2873,714,2174,2214,123,0.474,0.69,1.164,206
Lou_Gehrig,0.613402,0.046107,0.787371,0.425205,0.574742,0.44877,0.51933,0.218238,0.640464,0.566598,0.430412,0.556352,1,,,183,200,0.34,8001,2721,493,1888,1995,102,0.447,0.632,1.08,179
Tony_Gwynn,0.519866,0.141333,0.671135,0.391333,0.506462,0.480667,0.520823,0.282667,0.61752,0.552667,0.41168,0.554667,1,,,180,185,0.338,9288,3141,135,1383,1138,319,0.388,0.459,0.847,132
Al_Simmons,0.353535,0.062745,0.270202,0.447059,0.505051,0.460784,0.388889,0.133333,0.419192,0.488235,0.628788,0.413725,0,,,180,190,0.334,8759,2927,307,1507,1828,88,0.38,0.535,0.915,133
Eddie_Collins,0.523529,0.169069,0.691912,0.285477,0.509559,0.356984,0.493382,0.166297,0.392647,0.478936,0.588971,0.480599,1,,,175,175,0.333,9949,3315,47,1821,1299,741,0.424,0.429,0.853,141
Stan_Musial,0.742236,0.0925,0.725155,0.48125,0.563665,0.53125,0.540373,0.22625,0.43323,0.54,0.590062,0.555,1,,,183,175,0.331,10972,3630,475,1949,1951,78,0.417,0.559,0.976,159
Wade_Boggs,0.7,0.057778,0.852778,0.486667,0.661111,0.471111,0.655556,0.144444,0.6,0.504444,0.394444,0.477778,1,,,187,190,0.328,9180,3010,118,1513,1014,24,0.415,0.443,0.858,131
Joe_DiMaggio,0.25,0.0525,0.217014,0.305,0.404514,0.34375,0.411458,0.15125,0.362847,0.42625,0.539931,0.44,0,,,187,193,0.325,6821,2214,361,1390,1537,30,0.398,0.579,0.977,155
Vladimir_Guerrero,0.713333,0.036667,0.642222,0.2475,0.779444,0.365833,0.696111,0.179167,0.528333,0.515417,0.720556,0.522083,0,,,190,235,0.318,8155,2590,449,1328,1496,181,0.379,0.553,0.931,140
Todd_Helton,0.595628,0.016304,0.871585,0.313406,0.674863,0.416667,0.650273,0.161232,0.631148,0.519928,0.407104,0.501812,1,,,187,220,0.316,7962,2519,369,1401,1406,37,0.414,0.539,0.953,133
José_Altuve,0.428961,0.108667,0.714934,0.249333,0.557876,0.37,0.536087,0.172,0.608715,0.540667,0.388107,0.52,0,,,167,165,0.315,3404,1075,31,518,485,64,0.355,0.432,0.788,103
Miguel_Cabrera,0.292,0.049107,0.246,0.290179,0.454,0.339286,0.428,0.125,0.336,0.482143,0.54,0.464286,0,,,195,249,0.315,4652,1463,69,655,784,47,0.372,0.449,0.821,113
Nomar_Garciaparra,0.474672,0.134667,0.186679,0.28,0.315197,0.368667,0.405253,0.168,0.430582,0.522667,0.609756,0.494,0,,,183,165,0.313,5586,1747,229,927,936,95,0.361,0.521,0.882,124
Edgar_Martinez,0.708213,0.223633,0.257925,0.234375,0.330692,0.335938,0.369597,0.246094,0.322046,0.556152,0.497839,0.54248,0,,,185,175,0.312,7213,2247,309,1219,1261,49,0.418,0.515,0.933,147
Manny_Ramírez,0.607527,0.009225,0.252688,0.221402,0.438172,0.328413,0.508065,0.118081,0.311828,0.498155,0.575269,0.505535,0,,,183,225,0.312,8244,2574,555,1544,1831,38,0.411,0.585,0.996,154
Ichiro_Suzuki,0.438086,0.02625,0.893058,0.28125,0.722326,0.386875,0.586304,0.1375,0.56848,0.52125,0.397749,0.495625,1,,,180,175,0.311,4895,1526,18,992,840,359,0.391,0.406,0.797,118
Jackie_Robinson,0.056962,0.0425,0.131329,0.28875,0.343354,0.33125,0.419304,0.1225,0.276899,0.47,0.474684,0.45375,0,,,180,195,0.311,4877,1518,137,947,734,197,0.409,0.474,0.883,132
Derek_Jeter,0.589,0.098667,0.225,0.277333,0.357,0.378667,0.409,0.227333,0.349,0.538667,0.531,0.526,0,,,190,195,0.31,11195,3465,260,1923,1311,358,0.377,0.44,0.817,115
Magglio_Ordóñez,0.471396,0.09232,0.303204,0.261438,0.437071,0.384804,0.475973,0.198529,0.350114,0.519608,0.567506,0.513889,0,,,183,215,0.309,6978,2156,294,1076,1236,94,0.369,0.502,0.871,125
Mike_Piazza,0.616022,0.077061,0.270718,0.28853,0.406077,0.403226,0.472376,0.163082,0.441989,0.482079,0.646409,0.451613,0,,,190,200,0.308,6911,2127,427,1048,1335,17,0.377,0.545,0.922,142
