Player,T1,T2,T3,H1,H2,H3,hand,angle 1,angle 2,height(cm),weight(lbs),BA
mike_marshall_999,"0.500723, 0.019169","0.096098, 0.576677","0.379335, 0.605431","0.413295, 0.13738","0.49711, 0.715655","0.734827, 0.645367",R,,,196,215,0.2702
alfonso_soriano_998,"0.526171, 0.002045","0.055096, 0.237219","0.292011, 0.388037","0.365014, 0.171779","0.436639, 0.527607","0.630165, 0.514315",R,,,185,195,0.2703
jody_reed_997,"0.464928, 0.00463","0.079137, 0.46164","0.373201, 0.490079","0.438849, 0.112434","0.566547, 0.713624","0.872302, 0.660053",R,,,175,170,0.2703
kevin_bass_996,"0.477839, 0.020161","0.93144, 0.30746","0.623269, 0.403226","0.584488, 0.099798","0.493075, 0.564516","0.198061, 0.521169",R,,,183,183,0.2703
jason_barlett_995,"0.424769, 0.003546","0.125, 0.348404","0.445602, 0.480496","0.493056, 0.097518","0.400463, 0.738475","0.788194, 0.731383",R,,,183,190,0.2703
bobby_thomson_994,"0.479962, 0.127743","0.229008, 0.507837","0.478053, 0.54232","0.485687, 0.167712","0.458969, 0.721787","0.743321, 0.709248",R,,,188,180,0.2704
rube_oldring_993,"0.702236, 0.203125","0.239837, 0.382812","0.434959, 0.414062","0.526423, 0.213778","0.470528, 0.566051","0.706301, 0.529119",R,,,178,186,0.2704
bill_spiers_992,"0.421053, 0.006925","0.862664, 0.296399","0.702303, 0.351801","0.661184, 0.047784","0.541118, 0.468837","0.318257, 0.40928",L,,,188,190,0.2705
glenallen_hill_991,"0.236891, 0.006631","0.324906, 0.289125","0.524345, 0.322944","0.432584, 0.094164","0.365169, 0.415119","0.571161, 0.39191",R,,,190,210,0.2705
terry_steinbach_990,"0.298817, 0.007229","0.139053, 0.21988","0.323225, 0.343373","0.378698, 0.056024","0.434911, 0.490964","0.695266, 0.444578",R,,,185,195,0.2706
cory_hart_989,"0.46747, 0.035965","0.109639, 0.359649","0.357831, 0.419737","0.392771, 0.160965","0.362651, 0.535088","0.618675, 0.501316",R,,,198,240,0.2706
tino_martiniez_988,"0.640625, 0.0525","0.835069, 0.297","0.605035, 0.391","0.625868, 0.178","0.642361, 0.542","0.392361, 0.5175",L,,,188,205,0.2707
omar_infante_987,"0.614621, 0.113071","0.209386, 0.195539","0.466606, 0.342842","0.405235, 0.103734","0.276173, 0.488589","0.560469, 0.478734",R,,,180,195,0.2707
milton_bradley_986,"0.630117, 0.035204","0.108187, 0.335204","0.328947, 0.442857","0.371345, 0.152551","0.423977, 0.578571","0.627193, 0.554592",R,,,183,215,0.2707
mike_lansing_985,"0.206422, 0.051296","0.04052, 0.427646","0.318807, 0.449784","0.308104, 0.205724","0.337156, 0.541037","0.573394, 0.516199",R,,,183,175,0.2708
kid_elberfield_984,"0.097166, 0.194981","0.680162, 0.3861","0.859312, 0.398649","0.532389, 0.146236","0.408907, 0.512548","0.70749, 0.505792",R,,,170,158,0.2708
jorge_cantu_983,"0.363497, 0.053672","0.131135, 0.368644","0.30138, 0.474576","0.302147, 0.289077","0.319785, 0.590866","0.537577, 0.572976",R,,,190,205,0.2708
bill_bradley_982,"0.104839, 0.107717","0.280914, 0.481511","0.564516, 0.459807","0.56586, 0.144695","0.366935, 0.504823","0.681452, 0.46463",R,,,183,185,0.2709
erick_aybar_981,"0.358859, 0.102113","0.337838, 0.467807","0.536787, 0.504527","0.445946, 0.231891","0.353604, 0.551308","0.617868, 0.527163",R,,,178,195,0.2709
roy_white_980,"0.425856, 0.046537","0.859316, 0.404762","0.546578, 0.439394","0.531369, 0.121212","0.518061, 0.482684","0.258555, 0.471861",L,,,178,160,0.2711
tom_herr_979,"0.673137, 0.008333","0.802795, 0.371795","0.462733, 0.476282","0.479814, 0.115385","0.496894, 0.721154","0.159161, 0.679487",L,,,183,175,0.2711
christian_guzman_978,"0.058673, 0.011798","0.323129, 0.416854","0.561224, 0.447191","0.447279, 0.136517","0.25, 0.553371","0.582483, 0.547191",R,,,183,180,0.2711
edddie_matthews_977,"0.522177, 0.079521","0.898522, 0.526144","0.452285, 0.587691","0.561828, 0.104031","0.581989, 0.948257","0.122984, 0.921024",L,,,185,190,0.2712
steve_finlay_976,"0.509291, 0.008157","0.866554, 0.245202","0.590372, 0.34501","0.628378, 0.15691","0.662162, 0.533109","0.383446, 0.49952",L,,,188,175,0.2712
carl_everett_975,"0.466454, 0.047423","0.070288, 0.322165","0.269968, 0.409278","0.367412, 0.218041","0.320288, 0.542268","0.57508, 0.512887",R,,,183,181,0.2712
denny_walling_974,"0.659167, 0.015504","0.81, 0.43863","0.576667, 0.486434","0.6, 0.167313","0.625, 0.544574","0.408333, 0.524548",L,,,183,180,0.2713
joe_morgan_973,"0.805451, 0.027385","0.789474, 0.545936","0.50188, 0.573322","0.650376, 0.126325","0.610902, 0.64841","0.333647, 0.616608",L,,,170,160,0.2713
doug_mientkiewicz_972,"0.803381, 0.007979","0.626335, 0.391622","0.38968, 0.369016","0.512456, 0.095745","0.599644, 0.515957","0.341637, 0.511303",L,,,188,195,0.2714
sixto_lezcano_971,"0.262097, 0.012987","0.232258, 0.482955","0.374194, 0.570617","0.41129, 0.32224","0.458065, 0.763799","0.649194, 0.729708",R,,,178,165,0.2714
duane_kupier_970,"0.68254, 0.007669","0.802579, 0.545245","0.405754, 0.535276","0.526786, 0.082822","0.603175, 0.582822","0.299603, 0.57362",L,,,183,175,0.2714
norm_cash_969,"0.576531, 0.039666","0.856122, 0.315762","0.508163, 0.38048","0.568367, 0.137787","0.704082, 0.505741","0.326531, 0.473382",L,,,183,185,0.2714
garry_templeton_968,"0.653045, 0.007092","0.935897, 0.203901","0.677083, 0.327423","0.615385, 0.123522","0.568109, 0.536052","0.349359, 0.475768",L,,,180,175,0.2715
rey_sanchez_967,"0.395257, 0.004902","0.139328, 0.338235","0.418972, 0.489216","0.411067, 0.103922","0.309289, 0.756863","0.62253, 0.719608",R,,,178,180,0.2715
ray_knight_966,"0.362261, 0.003941","0.140127, 0.331644","0.414013, 0.405968","0.426752, 0.083896","0.476115, 0.539414","0.703025, 0.524775",R,,,185,185,0.2715
jerry_browne_965,"0.375536, 0.004792","0.100858, 0.402556","0.300429, 0.433706","0.32618, 0.199681","0.408798, 0.523962","0.61588, 0.465655",R,,,185,185,0.2715
barry_bonnell_964,"0.480198, 0.069322","0.12995, 0.436578","0.483911, 0.465339","0.408416, 0.245575","0.410891, 0.600295","0.674505, 0.581858",R,,,190,190,0.2715
leon_wagner_962,"0.868, 0.178302","0.512, 0.620755","0.218, 0.491509","0.492, 0.178302","0.704, 0.546226","0.274, 0.535849",L,,,185,195,0.2716
norm_siebern_961,"0.27, 0.004292","0.131667, 0.284335","0.455, 0.313305","0.435, 0.055794","0.353333, 0.477468","0.661667, 0.463519",L,,,188,200,0.2716
ray_lankford_960,"0.462413, 0.01306","0.925699, 0.285448","0.527098, 0.404851","0.520105, 0.133085","0.532343, 0.674751","0.238636, 0.608831",L,,,180,180,0.2716
omar_vizquel_959,"0.259649, 0.039112","0.197368, 0.418076","0.441228, 0.447146","0.414035, 0.225687","0.487719, 0.55444","0.707018, 0.4926",R,,,175,180,0.2718
jeffrey_hammonds_958,"0.583333, 0.087591","0.03125, 0.192822","0.249132, 0.307786","0.30816, 0.113139","0.365451, 0.497567","0.637153, 0.458637",R,,,183,195,0.2718
orlando_cabrera_957,"0.61, 0.007256","0.055833, 0.227573","0.299167, 0.305409","0.363333, 0.097625","0.365, 0.542876","0.606667, 0.494723",R,,,178,195,0.2718
adam_kennedy_956,"0.412757, 0.047423","0.722141, 0.252062","0.550587, 0.360309","0.56305, 0.160309","0.58651, 0.469588","0.372434, 0.458247",L,,,180,195,0.2719
dwight_evans_955,"0.429365, 0.139755","0.080159, 0.328508","0.355556, 0.431514","0.384127, 0.168151","0.363492, 0.512249","0.606349, 0.477171",R,,,188,180,0.2719
ken_camniniti_954,"0.724359, 0.005799","0.895032, 0.431057","0.641026, 0.447809","0.653846, 0.143686","0.625801, 0.521907","0.41266, 0.471649",L,,,183,200,0.2719
marquis_grissom_953,"0.291379, 0.045768","0.261207, 0.39124","0.528448, 0.477854","0.442241, 0.242618","0.368103, 0.551673","0.623276, 0.549213",R,,,180,190,0.272
ivan_calderon_952,"0.359259, 0.046036","0.173148, 0.223785","0.403704, 0.337596","0.4, 0.075448","0.401852, 0.48913","0.702778, 0.459719",R,,,185,220,0.272
wally_westlake_951,"0.292328, 0.081132","0.072751, 0.387736","0.498677, 0.49717","0.421958, 0.174528","0.464286, 0.828302","0.921958, 0.781132",R,,,183,186,0.2721
bobby_higginson_950,"0.645186, 0.032242","0.906832, 0.410218","0.670807, 0.47371","0.622671, 0.230655","0.680901, 0.543155","0.430124, 0.5",L,,,180,180,0.2721
marcel_ozuna-949,"0.317308, 0.075843","0.180556, 0.452949","0.429487, 0.525281","0.442308, 0.26264","0.344017, 0.591994","0.602564, 0.5625",R,,,185,225,0.2723
